DevID,DataYear,DataMonth,DataDay,DataHour,DataMinute,DataValue
1,2013,12,1,0,0,0.1716
1,2013,12,1,1,0,0.1699
1,2013,12,1,2,0,0.1811
1,2013,12,1,3,0,0.1599
1,2013,12,1,4,0,0.1632
1,2013,12,1,5,0,0.1691
1,2013,12,1,6,0,0.1687
1,2013,12,1,7,0,0.1608
1,2013,12,1,8,0,0.1726
1,2013,12,1,9,0,0.1731
1,2013,12,1,10,0,0.1693
1,2013,12,1,11,0,0.1745
1,2013,12,1,12,0,0.1660
1,2013,12,1,13,0,0.1596
1,2013,12,1,14,0,0.1556
1,2013,12,1,15,0,0.1674
1,2013,12,1,16,0,0.1798
1,2013,12,1,17,0,0.1545
1,2013,12,1,18,0,0.1695
1,2013,12,1,19,0,0.1743
1,2013,12,1,20,0,0.1692
1,2013,12,1,21,0,0.1651
1,2013,12,1,22,0,0.1647
1,2013,12,1,23,0,0.1722
1,2013,12,2,0,0,0.1603
1,2013,12,2,1,0,0.1629
1,2013,12,2,2,0,0.1673
1,2013,12,2,3,0,0.1743
1,2013,12,2,4,0,0.1609
1,2013,12,2,5,0,0.1630
1,2013,12,2,6,0,0.1628
1,2013,12,2,7,0,0.1796
1,2013,12,2,8,0,0.1687
1,2013,12,2,9,0,0.1657
1,2013,12,2,10,0,0.1559
1,2013,12,2,11,0,0.0000
1,2013,12,2,12,0,0.1463
1,2013,12,2,13,0,0.1486
1,2013,12,2,14,0,0.0000
1,2013,12,2,15,0,0.1520
1,2013,12,2,16,0,0.1821
1,2013,12,2,17,0,0.1640
1,2013,12,2,18,0,0.1690
1,2013,12,2,19,0,0.1650
1,2013,12,2,20,0,0.1650
1,2013,12,2,21,0,0.1748
1,2013,12,2,22,0,0.1835
1,2013,12,2,23,0,0.1695
1,2013,12,3,0,0,0.1771
1,2013,12,3,1,0,0.1657
1,2013,12,3,2,0,0.1653
1,2013,12,3,3,0,0.1656
1,2013,12,3,4,0,0.1675
1,2013,12,3,5,0,0.1549
1,2013,12,3,6,0,0.1735
1,2013,12,3,7,0,0.1691
1,2013,12,3,8,0,0.1570
1,2013,12,3,9,0,0.1540
1,2013,12,3,10,0,0.0000
1,2013,12,3,11,0,0.1663
1,2013,12,3,12,0,0.1594
1,2013,12,3,13,0,0.1598
1,2013,12,3,14,0,0.1688
1,2013,12,3,15,0,0.1600
1,2013,12,3,16,0,0.1514
1,2013,12,3,17,0,0.1642
1,2013,12,3,18,0,0.1612
1,2013,12,3,19,0,0.0000
1,2013,12,3,20,0,0.0000
1,2013,12,3,21,0,0.1705
1,2013,12,3,22,0,0.1528
1,2013,12,3,23,0,0.1435
1,2013,12,4,0,0,0.1691
1,2013,12,4,1,0,0.1612
1,2013,12,4,2,0,0.1736
1,2013,12,4,3,0,0.1726
1,2013,12,4,4,0,0.1569
1,2013,12,4,5,0,0.1574
1,2013,12,4,6,0,0.1579
1,2013,12,4,7,0,0.1691
1,2013,12,4,8,0,0.1622
1,2013,12,4,9,0,0.0272
1,2013,12,4,10,0,0.0000
1,2013,12,4,11,0,0.0000
1,2013,12,4,12,0,0.0272
1,2013,12,4,13,0,0.0242
1,2013,12,4,14,0,0.0240
1,2013,12,4,15,0,0.0240
1,2013,12,4,16,0,0.0221
1,2013,12,4,17,0,0.1699
1,2013,12,4,18,0,0.1603
1,2013,12,4,19,0,0.0000
1,2013,12,4,20,0,0.0000
1,2013,12,4,21,0,0.1601
1,2013,12,4,22,0,0.1470
1,2013,12,4,23,0,0.1464
1,2013,12,5,0,0,0.1484
1,2013,12,5,1,0,0.1393
1,2013,12,5,2,0,0.1713
1,2013,12,5,3,0,0.1650
1,2013,12,5,4,0,0.1650
1,2013,12,5,5,0,0.1729
1,2013,12,5,6,0,0.1525
1,2013,12,5,7,0,0.1778
1,2013,12,5,8,0,0.1629
1,2013,12,5,9,0,0.0000
1,2013,12,5,10,0,0.0000
1,2013,12,5,11,0,0.1732
1,2013,12,5,12,0,0.1602
1,2013,12,5,13,0,0.1694
1,2013,12,5,14,0,0.1733
1,2013,12,5,15,0,0.1622
1,2013,12,5,16,0,0.1629
1,2013,12,5,17,0,0.1655
1,2013,12,5,18,0,0.1829
1,2013,12,5,19,0,0.1637
1,2013,12,5,20,0,0.1544
1,2013,12,5,21,0,0.1611
1,2013,12,5,22,0,0.1667
1,2013,12,5,23,0,0.1773
1,2013,12,6,0,0,0.1473
1,2013,12,6,1,0,0.1588
1,2013,12,6,2,0,0.1604
1,2013,12,6,3,0,0.1509
1,2013,12,6,4,0,0.0000
1,2013,12,6,5,0,0.1673
1,2013,12,6,6,0,0.1655
1,2013,12,6,7,0,0.1822
1,2013,12,6,8,0,0.1645
1,2013,12,6,9,0,0.1569
1,2013,12,6,10,0,0.1519
1,2013,12,6,11,0,0.1687
1,2013,12,6,12,0,0.1765
1,2013,12,6,13,0,0.1520
1,2013,12,6,14,0,0.1454
1,2013,12,6,15,0,0.1635
1,2013,12,6,16,0,0.1730
1,2013,12,6,17,0,0.1586
1,2013,12,6,18,0,0.1551
1,2013,12,6,19,0,0.1743
1,2013,12,6,20,0,0.1729
1,2013,12,6,21,0,0.1535
1,2013,12,6,22,0,0.1671
1,2013,12,6,23,0,0.1711
1,2013,12,7,0,0,0.1604
1,2013,12,7,1,0,0.1614
1,2013,12,7,2,0,0.1735
1,2013,12,7,3,0,0.1735
1,2013,12,7,4,0,0.1630
1,2013,12,7,5,0,0.1630
1,2013,12,7,6,0,0.1507
1,2013,12,7,7,0,0.1689
1,2013,12,7,8,0,0.1623
1,2013,12,7,9,0,0.1721
1,2013,12,7,10,0,0.1680
1,2013,12,7,11,0,0.1790
1,2013,12,7,12,0,0.1695
1,2013,12,7,13,0,0.1576
1,2013,12,7,14,0,0.1679
1,2013,12,7,15,0,0.1557
1,2013,12,7,16,0,0.1639
1,2013,12,7,17,0,0.1639
1,2013,12,7,18,0,0.1650
1,2013,12,7,19,0,0.1566
1,2013,12,7,20,0,0.1574
1,2013,12,7,21,0,0.0000
1,2013,12,7,22,0,0.1674
1,2013,12,7,23,0,0.1660
1,2013,12,8,0,0,0.1424
1,2013,12,8,1,0,0.1616
1,2013,12,8,2,0,0.1738
1,2013,12,8,3,0,0.1819
1,2013,12,8,4,0,0.1577
1,2013,12,8,5,0,0.1661
1,2013,12,8,6,0,0.1565
1,2013,12,8,7,0,0.1648
1,2013,12,8,8,0,0.1628
1,2013,12,8,9,0,0.1591
1,2013,12,8,10,0,0.0000
1,2013,12,8,11,0,0.1422
1,2013,12,8,12,0,0.1530
1,2013,12,8,13,0,0.1591
1,2013,12,8,14,0,0.1591
1,2013,12,8,15,0,0.1462
1,2013,12,8,16,0,0.1604
1,2013,12,8,17,0,0.1604
1,2013,12,8,18,0,0.1685
1,2013,12,8,19,0,0.1623
1,2013,12,8,20,0,0.1520
1,2013,12,8,21,0,0.0000
1,2013,12,8,22,0,0.1673
1,2013,12,8,23,0,0.1720
1,2013,12,9,0,0,0.1677
1,2013,12,9,1,0,0.1663
1,2013,12,9,2,0,0.1662
1,2013,12,9,3,0,0.1693
1,2013,12,9,4,0,0.1467
1,2013,12,9,5,0,0.1580
1,2013,12,9,6,0,0.1717
1,2013,12,9,7,0,0.1748
1,2013,12,9,8,0,0.1617
1,2013,12,9,9,0,0.0000
1,2013,12,9,10,0,0.1677
1,2013,12,9,11,0,0.1727
1,2013,12,9,12,0,0.1564
1,2013,12,9,13,0,0.1554
1,2013,12,9,14,0,0.1573
1,2013,12,9,15,0,0.1550
1,2013,12,9,16,0,0.1517
1,2013,12,9,17,0,0.1663
1,2013,12,9,18,0,0.1685
1,2013,12,9,19,0,0.1672
1,2013,12,9,20,0,0.1707
1,2013,12,9,21,0,0.1630
1,2013,12,9,22,0,0.1643
1,2013,12,9,23,0,0.1631
1,2013,12,10,0,0,0.1604
1,2013,12,10,1,0,0.1683
1,2013,12,10,2,0,0.1736
1,2013,12,10,3,0,0.1581
1,2013,12,10,4,0,0.1753
1,2013,12,10,5,0,0.1521
1,2013,12,10,6,0,0.1490
1,2013,12,10,7,0,0.1828
1,2013,12,10,8,0,0.1828
1,2013,12,10,9,0,0.0260
1,2013,12,10,10,0,0.0273
1,2013,12,10,11,0,0.0306
1,2013,12,10,12,0,0.0309
1,2013,12,10,13,0,0.0309
1,2013,12,10,14,0,0.0281
