DevID,DataYear,DataMonth,DataDay,DataHour,DataMinute,DataValue
1,2013,2,1,0,0,0.3493
1,2013,2,1,1,0,0.3483
1,2013,2,1,2,0,0.3462
1,2013,2,1,3,0,0.3462
1,2013,2,1,4,0,0.3177
1,2013,2,1,5,0,0.3351
1,2013,2,1,6,0,0.3151
1,2013,2,1,7,0,0.3811
1,2013,2,1,8,0,0.3347
1,2013,2,1,9,0,0.3178
1,2013,2,1,10,0,0.3735
1,2013,2,1,11,0,0.3735
1,2013,2,1,12,0,0.3165
1,2013,2,1,13,0,0.3184
1,2013,2,1,14,0,0.3255
1,2013,2,1,15,0,0.3471
1,2013,2,1,16,0,0.3248
1,2013,2,1,17,0,0.3343
1,2013,2,1,18,0,0.3632
1,2013,2,1,19,0,0.3799
1,2013,2,1,20,0,0.3452
1,2013,2,1,21,0,0.0000
1,2013,2,1,22,0,0.3784
1,2013,2,1,23,0,0.3607
1,2013,2,2,0,0,0.3291
1,2013,2,2,1,0,0.3783
1,2013,2,2,2,0,0.3152
1,2013,2,2,3,0,0.3179
1,2013,2,2,4,0,0.3179
1,2013,2,2,5,0,0.3142
1,2013,2,2,6,0,0.3205
1,2013,2,2,7,0,0.3873
1,2013,2,2,8,0,0.3695
1,2013,2,2,9,0,0.3148
1,2013,2,2,10,0,0.3590
1,2013,2,2,11,0,0.0000
1,2013,2,2,12,0,0.3735
1,2013,2,2,13,0,0.3274
1,2013,2,2,14,0,0.3546
1,2013,2,2,15,0,0.3577
1,2013,2,2,16,0,0.3776
1,2013,2,2,17,0,0.3783
1,2013,2,2,18,0,0.3368
1,2013,2,2,19,0,0.3892
1,2013,2,2,20,0,0.3149
1,2013,2,2,21,0,0.3209
1,2013,2,2,22,0,0.3596
1,2013,2,2,23,0,0.3418
1,2013,2,3,0,0,0.3710
1,2013,2,3,1,0,0.3675
1,2013,2,3,2,0,0.3204
1,2013,2,3,3,0,0.0000
1,2013,2,3,4,0,0.3422
1,2013,2,3,5,0,0.3535
1,2013,2,3,6,0,0.3132
1,2013,2,3,7,0,0.3783
1,2013,2,3,8,0,0.3094
1,2013,2,3,9,0,0.1578
1,2013,2,3,10,0,0.3470
1,2013,2,3,11,0,0.3461
1,2013,2,3,12,0,0.3535
1,2013,2,3,13,0,0.3290
1,2013,2,3,14,0,0.3290
1,2013,2,3,15,0,0.3872
1,2013,2,3,16,0,0.3818
1,2013,2,3,17,0,0.3683
1,2013,2,3,18,0,0.3332
1,2013,2,3,19,0,0.3192
1,2013,2,3,20,0,0.3518
1,2013,2,3,21,0,0.3622
1,2013,2,3,22,0,0.3491
1,2013,2,3,23,0,0.3528
1,2013,2,4,0,0,0.3569
1,2013,2,4,1,0,0.3521
1,2013,2,4,2,0,0.3212
1,2013,2,4,3,0,0.3212
1,2013,2,4,4,0,0.3334
1,2013,2,4,5,0,0.3146
1,2013,2,4,6,0,0.3189
1,2013,2,4,7,0,0.3716
1,2013,2,4,8,0,0.3471
1,2013,2,4,9,0,0.3383
1,2013,2,4,10,0,0.3540
1,2013,2,4,11,0,0.3526
1,2013,2,4,12,0,0.1376
1,2013,2,4,13,0,0.3337
1,2013,2,4,14,0,0.3724
1,2013,2,4,15,0,0.3724
1,2013,2,4,16,0,0.3724
1,2013,2,4,17,0,0.0480
1,2013,2,4,18,0,0.3216
1,2013,2,4,19,0,0.3554
1,2013,2,4,20,0,0.3626
1,2013,2,4,21,0,0.3224
1,2013,2,4,22,0,0.3528
1,2013,2,4,23,0,0.3257
1,2013,2,5,0,0,0.3176
1,2013,2,5,1,0,0.3842
1,2013,2,5,2,0,0.3180
1,2013,2,5,3,0,0.3181
1,2013,2,5,4,0,0.3264
1,2013,2,5,5,0,0.3361
1,2013,2,5,6,0,0.3380
1,2013,2,5,7,0,0.3295
