DevID,DataYear,DataMonth,DataDay,DataHour,DataMinute,DataValue
1,2013,7,1,0,0,0.0109
1,2013,7,1,1,0,0.0109
1,2013,7,1,2,0,0.0093
1,2013,7,1,3,0,0.0102
1,2013,7,1,4,0,0.0102
1,2013,7,1,5,0,0.0098
1,2013,7,1,6,0,0.0184
1,2013,7,1,7,0,0.0099
1,2013,7,1,8,0,0.1353
1,2013,7,1,9,0,0.1513
1,2013,7,1,10,0,0.1515
1,2013,7,1,11,0,0.1644
1,2013,7,1,12,0,0.1605
1,2013,7,1,13,0,0.1523
1,2013,7,1,14,0,0.1442
1,2013,7,1,15,0,0.1574
1,2013,7,1,16,0,0.1483
1,2013,7,1,17,0,0.1412
1,2013,7,1,18,0,0.1652
1,2013,7,1,19,0,0.1602
1,2013,7,1,20,0,0.1620
1,2013,7,1,21,0,0.1575
1,2013,7,1,22,0,0.0142
1,2013,7,1,23,0,0.0122
1,2013,7,2,0,0,0.0122
1,2013,7,2,1,0,0.0105
1,2013,7,2,2,0,0.0105
1,2013,7,2,3,0,0.0105
1,2013,7,2,4,0,0.0105
1,2013,7,2,5,0,0.0088
1,2013,7,2,6,0,0.0161
1,2013,7,2,7,0,0.0089
1,2013,7,2,8,0,0.0111
1,2013,7,2,9,0,0.1458
1,2013,7,2,10,0,0.1580
1,2013,7,2,11,0,0.1620
1,2013,7,2,12,0,0.1627
1,2013,7,2,13,0,0.0000
1,2013,7,2,14,0,0.1393
1,2013,7,2,15,0,0.0000
1,2013,7,2,16,0,0.1300
1,2013,7,2,17,0,0.0090
1,2013,7,2,18,0,0.0178
1,2013,7,2,19,0,0.0178
1,2013,7,2,20,0,0.0104
1,2013,7,2,21,0,0.0137
1,2013,7,2,22,0,0.0000
1,2013,7,2,23,0,0.0000
1,2013,7,3,0,0,0.0000
1,2013,7,3,1,0,0.0000
1,2013,7,3,2,0,0.0091
1,2013,7,3,3,0,0.0000
1,2013,7,3,4,0,0.0000
1,2013,7,3,5,0,0.0000
1,2013,7,3,6,0,0.0000
1,2013,7,3,7,0,0.0000
1,2013,7,3,8,0,0.0000
1,2013,7,3,9,0,0.0000
1,2013,7,3,10,0,0.0000
1,2013,7,3,11,0,0.5052
1,2013,7,3,12,0,0.4274
1,2013,7,3,13,0,0.4540
1,2013,7,3,14,0,0.4774
1,2013,7,3,15,0,0.4551
1,2013,7,3,16,0,0.4476
1,2013,7,3,17,0,0.0994
1,2013,7,3,18,0,0.0109
1,2013,7,3,19,0,0.0121
1,2013,7,3,20,0,0.0118
1,2013,7,3,21,0,0.0176
1,2013,7,3,22,0,0.0172
1,2013,7,3,23,0,0.0151
1,2013,7,4,0,0,0.0144
1,2013,7,4,1,0,0.0136
1,2013,7,4,2,0,0.0138
1,2013,7,4,3,0,0.0127
1,2013,7,4,4,0,0.0127
1,2013,7,4,5,0,0.0127
1,2013,7,4,6,0,0.0094
1,2013,7,4,7,0,0.0212
1,2013,7,4,8,0,0.4420
1,2013,7,4,9,0,0.1859
1,2013,7,4,10,0,0.4579
1,2013,7,4,11,0,0.0273
1,2013,7,4,12,0,0.0138
1,2013,7,4,13,0,0.4473
1,2013,7,4,14,0,0.1430
1,2013,7,4,15,0,0.4718
1,2013,7,4,16,0,0.4384
1,2013,7,4,17,0,0.0070
1,2013,7,4,18,0,0.0086
1,2013,7,4,19,0,0.0000
1,2013,7,4,20,0,0.0000
1,2013,7,4,21,0,0.0000
1,2013,7,4,22,0,0.0000
1,2013,7,4,23,0,0.0000
1,2013,7,5,0,0,0.0000
1,2013,7,5,1,0,0.0000
1,2013,7,5,2,0,0.0000
1,2013,7,5,3,0,0.0000
1,2013,7,5,4,0,0.0000
1,2013,7,5,5,0,0.0000
1,2013,7,5,6,0,0.0000
1,2013,7,5,7,0,0.0000
1,2013,7,5,8,0,0.0000
1,2013,7,5,9,0,0.4709
1,2013,7,5,10,0,0.4743
1,2013,7,5,11,0,0.4789
1,2013,7,5,12,0,0.4908
1,2013,7,5,13,0,0.5026
1,2013,7,5,14,0,0.4747
1,2013,7,5,15,0,0.1682
1,2013,7,5,16,0,0.1366
1,2013,7,5,17,0,0.1364
1,2013,7,5,18,0,0.0058
1,2013,7,5,19,0,0.0093
1,2013,7,5,20,0,0.0076
1,2013,7,5,21,0,0.0105
1,2013,7,5,22,0,0.0137
1,2013,7,5,23,0,0.0137
1,2013,7,6,0,0,0.0090
1,2013,7,6,1,0,0.0090
1,2013,7,6,2,0,0.0089
1,2013,7,6,3,0,0.0093
1,2013,7,6,4,0,0.0092
1,2013,7,6,5,0,0.0083
1,2013,7,6,6,0,0.0182
1,2013,7,6,7,0,0.0109
1,2013,7,6,8,0,0.4555
1,2013,7,6,9,0,0.4808
1,2013,7,6,10,0,0.4554
1,2013,7,6,11,0,0.4745
1,2013,7,6,12,0,0.4688
1,2013,7,6,13,0,0.4878
1,2013,7,6,14,0,0.4668
1,2013,7,6,15,0,0.4931
1,2013,7,6,16,0,0.0000
1,2013,7,6,17,0,0.0000
1,2013,7,6,18,0,0.0000
1,2013,7,6,19,0,0.0000
1,2013,7,6,20,0,0.0088
1,2013,7,6,21,0,0.0146
1,2013,7,6,22,0,0.0146
1,2013,7,6,23,0,0.0146
1,2013,7,7,0,0,0.0114
1,2013,7,7,1,0,0.0114
1,2013,7,7,2,0,0.0102
1,2013,7,7,3,0,0.0101
1,2013,7,7,4,0,0.0108
1,2013,7,7,5,0,0.0103
1,2013,7,7,6,0,0.0103
1,2013,7,7,7,0,0.0191
1,2013,7,7,8,0,0.0191
1,2013,7,7,9,0,0.1427
1,2013,7,7,10,0,0.1628
1,2013,7,7,11,0,0.1951
1,2013,7,7,12,0,0.1477
1,2013,7,7,13,0,0.1477
1,2013,7,7,14,0,0.1696
1,2013,7,7,15,0,0.1500
1,2013,7,7,16,0,0.1401
1,2013,7,7,17,0,0.1432
1,2013,7,7,18,0,0.1585
1,2013,7,7,19,0,0.1414
1,2013,7,7,20,0,0.1543
1,2013,7,7,21,0,0.1480
1,2013,7,7,22,0,0.1365
1,2013,7,7,23,0,0.1451
1,2013,7,8,0,0,0.1463
1,2013,7,8,1,0,0.1463
1,2013,7,8,2,0,0.1467
1,2013,7,8,3,0,0.1587
1,2013,7,8,4,0,0.1587
1,2013,7,8,5,0,0.1596
1,2013,7,8,6,0,0.1597
1,2013,7,8,7,0,0.1387
1,2013,7,8,8,0,0.1620
1,2013,7,8,9,0,0.1463
1,2013,7,8,10,0,0.1633
1,2013,7,8,11,0,0.0000
1,2013,7,8,12,0,0.1391
1,2013,7,8,13,0,0.1539
1,2013,7,8,14,0,0.1344
1,2013,7,8,15,0,0.0000
1,2013,7,8,16,0,0.1577
1,2013,7,8,17,0,0.1529
1,2013,7,8,18,0,0.1670
1,2013,7,8,19,0,0.1595
1,2013,7,8,20,0,0.1545
1,2013,7,8,21,0,0.1486
1,2013,7,8,22,0,0.1443
1,2013,7,8,23,0,0.1480
1,2013,7,9,0,0,0.1493
1,2013,7,9,1,0,0.1521
1,2013,7,9,2,0,0.1501
1,2013,7,9,3,0,0.1501
1,2013,7,9,4,0,0.1494
1,2013,7,9,5,0,0.1544
1,2013,7,9,6,0,0.1524
1,2013,7,9,7,0,0.1509
1,2013,7,9,8,0,0.1514
1,2013,7,9,9,0,0.1546
1,2013,7,9,10,0,0.1546
1,2013,7,9,11,0,0.1580
1,2013,7,9,12,0,0.1482
1,2013,7,9,13,0,0.1544
1,2013,7,9,14,0,0.1520
1,2013,7,9,15,0,0.1614
1,2013,7,9,16,0,0.1520
1,2013,7,9,17,0,0.1456
1,2013,7,9,18,0,0.1480
1,2013,7,9,19,0,0.1522
1,2013,7,9,20,0,0.1522
1,2013,7,9,21,0,0.1584
1,2013,7,9,22,0,0.0137
1,2013,7,9,23,0,0.0111
1,2013,7,10,0,0,0.1351
1,2013,7,10,1,0,0.1453
1,2013,7,10,2,0,0.1380
1,2013,7,10,3,0,0.1631
1,2013,7,10,4,0,0.1500
1,2013,7,10,5,0,0.1500
1,2013,7,10,6,0,0.1784
1,2013,7,10,7,0,0.1465
1,2013,7,10,8,0,0.1368
1,2013,7,10,9,0,0.1425
1,2013,7,10,10,0,0.1312
1,2013,7,10,11,0,0.1206
1,2013,7,10,12,0,0.1300
1,2013,7,10,13,0,0.1227
1,2013,7,10,14,0,0.1463
1,2013,7,10,15,0,0.1500
1,2013,7,10,16,0,0.1284
1,2013,7,10,17,0,0.1440
1,2013,7,10,18,0,0.1468
1,2013,7,10,19,0,0.1403
1,2013,7,10,20,0,0.1361
1,2013,7,10,21,0,0.1457
1,2013,7,10,22,0,0.1547
1,2013,7,10,23,0,0.1439
1,2013,7,11,0,0,0.1411
1,2013,7,11,1,0,0.1496
1,2013,7,11,2,0,0.1382
1,2013,7,11,3,0,0.1391
1,2013,7,11,4,0,0.1435
1,2013,7,11,5,0,0.1402
1,2013,7,11,6,0,0.1535
1,2013,7,11,7,0,0.1457
1,2013,7,11,8,0,0.1542
1,2013,7,11,9,0,0.1542
1,2013,7,11,10,0,0.0059
1,2013,7,11,11,0,0.1562
1,2013,7,11,12,0,0.1348
1,2013,7,11,13,0,0.1277
1,2013,7,11,14,0,0.1454
1,2013,7,11,15,0,0.1454
1,2013,7,11,16,0,0.1442
1,2013,7,11,17,0,0.1473
1,2013,7,11,18,0,0.1473
1,2013,7,11,19,0,0.1525
1,2013,7,11,20,0,0.1500
1,2013,7,11,21,0,0.1387
1,2013,7,11,22,0,0.1537
1,2013,7,11,23,0,0.1537
1,2013,7,12,0,0,0.1505
1,2013,7,12,1,0,0.1347
1,2013,7,12,2,0,0.1490
1,2013,7,12,3,0,0.1514
1,2013,7,12,4,0,0.1422
1,2013,7,12,5,0,0.1403
1,2013,7,12,6,0,0.1587
1,2013,7,12,7,0,0.1546
1,2013,7,12,8,0,0.1578
1,2013,7,12,9,0,0.1451
1,2013,7,12,10,0,0.1599
1,2013,7,12,11,0,0.1562
1,2013,7,12,12,0,0.1369
1,2013,7,12,13,0,0.1507
1,2013,7,12,14,0,0.1043
1,2013,7,12,15,0,0.1329
1,2013,7,12,16,0,0.1417
1,2013,7,12,17,0,0.1329
1,2013,7,12,18,0,0.1596
1,2013,7,12,19,0,0.1312
1,2013,7,12,20,0,0.1369
1,2013,7,12,21,0,0.1372
1,2013,7,12,22,0,0.1372
1,2013,7,12,23,0,0.1485
1,2013,7,13,0,0,0.1294
1,2013,7,13,1,0,0.1401
1,2013,7,13,2,0,0.1401
1,2013,7,13,3,0,0.1298
1,2013,7,13,4,0,0.1259
1,2013,7,13,5,0,0.1373
1,2013,7,13,6,0,0.1487
1,2013,7,13,7,0,0.1447
1,2013,7,13,8,0,0.1544
1,2013,7,13,9,0,0.1430
1,2013,7,13,10,0,0.1488
1,2013,7,13,11,0,0.1488
1,2013,7,13,12,0,0.1338
1,2013,7,13,13,0,0.1508
1,2013,7,13,14,0,0.1466
1,2013,7,13,15,0,0.1369
1,2013,7,13,16,0,0.1491
1,2013,7,13,17,0,0.1549
1,2013,7,13,18,0,0.1448
1,2013,7,13,19,0,0.1351
1,2013,7,13,20,0,0.1413
1,2013,7,13,21,0,0.1568
1,2013,7,13,22,0,0.1387
1,2013,7,13,23,0,0.1374
1,2013,7,14,0,0,0.1379
1,2013,7,14,1,0,0.1393
1,2013,7,14,2,0,0.1312
1,2013,7,14,3,0,0.1345
1,2013,7,14,4,0,0.0077
1,2013,7,14,5,0,0.1295
1,2013,7,14,6,0,0.1385
1,2013,7,14,7,0,0.1389
1,2013,7,14,8,0,0.4345
1,2013,7,14,9,0,0.4492
1,2013,7,14,10,0,0.4414
1,2013,7,14,11,0,0.4365
1,2013,7,14,12,0,0.4836
1,2013,7,14,13,0,0.4978
1,2013,7,14,14,0,0.4754
1,2013,7,14,15,0,0.4817
1,2013,7,14,16,0,0.1540
1,2013,7,14,17,0,0.1597
1,2013,7,14,18,0,0.1429
1,2013,7,14,19,0,0.1493
1,2013,7,14,20,0,0.1384
1,2013,7,14,21,0,0.1533
1,2013,7,14,22,0,0.1354
1,2013,7,14,23,0,0.1354
1,2013,7,15,0,0,0.1352
1,2013,7,15,1,0,0.1443
1,2013,7,15,2,0,0.1391
1,2013,7,15,3,0,0.1353
1,2013,7,15,4,0,0.1371
1,2013,7,15,5,0,0.1382
1,2013,7,15,6,0,0.1539
1,2013,7,15,7,0,0.1329
1,2013,7,15,8,0,0.0077
1,2013,7,15,9,0,0.2948
1,2013,7,15,10,0,0.4584
1,2013,7,15,11,0,0.4677
1,2013,7,15,12,0,0.4640
1,2013,7,15,13,0,0.4491
1,2013,7,15,14,0,0.4307
1,2013,7,15,15,0,0.4591
1,2013,7,15,16,0,0.4444
1,2013,7,15,17,0,0.1567
1,2013,7,15,18,0,0.1594
1,2013,7,15,19,0,0.1594
1,2013,7,15,20,0,0.0858
1,2013,7,15,21,0,0.0113
1,2013,7,15,22,0,0.0113
1,2013,7,15,23,0,0.0113
1,2013,7,16,0,0,0.0082
1,2013,7,16,1,0,0.0089
1,2013,7,16,2,0,0.0070
1,2013,7,16,3,0,0.0078
1,2013,7,16,4,0,0.0080
1,2013,7,16,5,0,0.0072
1,2013,7,16,6,0,0.0176
1,2013,7,16,7,0,0.0176
1,2013,7,16,8,0,0.1430
1,2013,7,16,9,0,0.1515
1,2013,7,16,10,0,0.1546
